ID,Species,Base-apex count (stem leaves),Orthogonal count (stem leaves),Base-apex distance um (stem leaves),Orthogonal distance um,Length um (leaf median cells),Width um (leaf median cells),Length um (leaf lobules),Width um (leaf lobules),Length um (underleaves),Width um (underleaves),Length um (styli),Width um (styli)
1,F. delangeii ,16,15,157,172,9.46,6.72,135.6,83.4,110.8,72.3,82,45.3
2,F. delangeii ,13,19,135,184,12.65,10.01,145.7,81.9,132.2,145.5,6.54,2.92
3,F. delangeii ,15,13,155,146,11.72,9.22,143.8,86.1,104.8,69.8,6.11,3.24
4,F. delangeii ,11,13,123,132,9.89,5.25,146.5,83.4,102.2,84.9,5.55,2.06
5,F. delangeii ,13,12,157,146,11.25,6.01,147.5,82.7,131.8,88.6,8.02,3.4
6,F. delangeii ,15,18,180,180,11.78,8.44,145.5,83.6,123.9,74.1,7.69,3.6
7,F. delangeii ,10,13,164,150,11.73,9.81,145.9,74.9,111.4,68.7,7.14,3.49
8,F. delangeii ,12,11,159,130,13.55,9.89,137.3,86,105.5,74.1,6.74,3.39
9,F. delangeii ,12,15,142,157,12.75,8.99,133.4,83.7,83.8,70.2,5.79,3.78
10,F. delangeii ,15,17,207,182,12.1,9.96,128,86.1,105.5,65.7,7.84,3.67
11,F. delangeii ,12,14,157,131,13.32,10.02,140.6,81.9,95.3,37.6,4.53,3.75
12,F. delangeii ,17,15,169,180,12.65,8.17,115.5,83.1,77.4,34.3,5.82,2.78
13,F. rostrata,21,27,198,207,16.05,9.95,157.5,87.6,113.6,78.2,102.1,62.6
14,F. rostrata,27,35,334,409,12.71,10.28,151.6,90.2,128,97.8,99.7,56.7
15,F. rostrata,22,45,310,500,12.44,10.04,158.3,80.9,132.4,99.2,85.9,42.1
16,F. rostrata,26,41,356,471,10.32,8.82,161.8,78.4,116.2,82.8,180.5,113.2
17,F. rostrata,22,36,279,360,11.16,9.34,156.3,77.7,124.4,109,166.7,94.5
18,F. rostrata,29,53,348,510,10.86,8.48,143.7,85,122.9,100.5,118.8,65.3
19,F. rostrata,31,51,399,526,10.49,8.62,136.6,82.7,101.6,72.5,97.5,60.7
20,F. rostrata,26,49,297,436,12.31,8.81,127.8,81.1,156.7,120,80,57.5
21,F. rostrata,26,47,331,488,10.21,8,164.5,83.4,152.5,115.7,143,104
22,F. rostrata,31,46,340,452,10.19,8.67,137.9,93.5,142,87.7,145.9,75.7
23,F. rostrata,26,51,347,583,11.41,9.07,152.1,90.5,135.6,87.3,206.4,107.7
24,F. rostrata,17,32,221,363,10.6,8.41,140.1,93.8,138.8,128.1,100.7,75.6
