ID,Species,Base-apex count (stem leaves),Orthogonal count (stem leaves),Base-apex distance um (stem leaves),Orthogonal distance um,Length um (leaf median cells),Width um (leaf median cells),Length um (leaf lobules),Width um (leaf lobules),Length um (oilbodies),Width um (oilbodies)
1,F. delangeii ,16,15,157,172,9.46,6.72,135.6,83.4,5.44,3.28
2,F. delangeii ,13,19,135,184,12.65,10.01,145.7,81.9,6.54,2.92
3,F. delangeii ,15,13,155,146,11.72,9.22,143.8,86.1,6.11,3.24
4,F. delangeii ,11,13,123,132,9.89,5.25,146.5,83.4,5.55,2.06
5,F. delangeii ,13,12,157,146,11.25,6.01,147.5,82.7,8.02,3.4
6,F. delangeii ,15,18,180,180,11.78,8.44,145.5,83.6,7.69,3.6
7,F. delangeii ,10,13,164,150,11.73,9.81,145.9,74.9,7.14,3.49
8,F. delangeii ,12,11,159,130,13.55,9.89,137.3,86,6.74,3.39
9,F. delangeii ,12,15,142,157,12.75,8.99,133.4,83.7,5.79,3.78
10,F. delangeii ,15,17,207,182,12.1,9.96,128,86.1,7.84,3.67
11,F. delangeii ,12,14,157,131,13.32,10.02,140.6,81.9,4.53,3.75
12,F. delangeii ,17,15,169,180,12.65,8.17,115.5,83.1,5.82,2.78
13,F. delangeii ,16,12,166,154,9.84,7.65,147.3,88.2,5.38,3.19
14,F. delangeii ,12,14,160,151,13.21,11.08,133,89.1,6.05,2.79
15,F. delangeii ,13,17,160,175,13.83,11.43,147.3,82.3,5.2,3.27
16,F. delangeii ,15,12,145,128,13.14,9.3,156.7,86,6.31,2.79
17,F. delangeii ,12,14,147,170,13.05,6.74,157.5,82.1,6.03,3.55
18,F. delangeii ,14,12,158,134,12.47,10.2,152.1,90.6,4.12,3.6
19,F. delangeii ,10,21,128,192,14.16,8.6,160.4,96.5,5.2,3.89
20,F. delangeii ,13,11,119,117,15.15,9.09,154,84.1,5.52,3.46
21,F. delangeii ,13,14,159,145,13.63,9.56,166.6,82.9,8.89,3.59
22,F. delangeii ,14,20,195,234,11,9.59,156.3,87,7.57,3.59
23,F. delangeii ,15,17,171,176,10.97,8.89,158.3,87.1,7.26,4.14
24,F. delangeii ,12,12,128,114,13.14,8.88,160.1,94.1,6.31,3.52
25,F. delangeii ,12,12,120,113,11.81,6.05,141.7,87.5,3.06,2.58
26,F. delangeii ,12,12,145,133,11.81,9.24,152.9,88.7,3.66,2.54
27,F. delangeii ,10,19,125,189,12.82,9.46,147.1,86,4.39,2.51
28,F. delangeii ,11,13,151,157,11.49,8.5,153.4,87.1,5.9,3.42
29,F. delangeii ,12,15,149,153,15.02,9.72,148.5,88.6,3.17,2.61
30,F. delangeii ,14,12,162,128,12.21,6.55,140.2,86.6,3.11,2.28
31,F. delangeii ,15,21,197,224,11.26,7.34,146.8,89.7,6.93,2.53
32,F. delangeii ,15,16,160,189,11.11,7.34,153.5,92.7,4.94,2.51
33,F. delangeii ,14,16,173,191,13.31,8.19,158.3,88,4.77,1.52
34,F. delangeii ,12,21,153,238,11.42,8.89,157.7,92.5,5.47,2.75
